method,N,K,rounds,mean_selection_seconds,std_selection_seconds,total_selection_seconds,samples
baseline.fedavg,20,2,10,0.001527919997170102,0.0039053218657257396,0.015279199971701019,10
system_aware.fedcs,20,2,10,0.0007456100007402711,0.0013481862100893595,0.007456100007402711,10
system_aware.oort,20,2,10,0.0013860100021702237,0.003278772466702488,0.013860100021702237,10
system_aware.tifl,20,2,10,0.0014794399990933015,0.0035627431486100745,0.014794399990933016,10
ml.fedcor,20,2,10,0.0028607099986402316,0.004518914544647281,0.028607099986402318,10
research.criticalfl,20,2,10,0.0005473299999721349,0.0007780497943896097,0.005473299999721348,10
research.fedgcs,20,2,10,0.05961671999830287,0.04697839189339026,0.5961671999830287,10
research.maml_select,20,2,10,0.021899720003420952,0.0038709813346876234,0.21899720003420953,10
baseline.fedavg,40,4,10,0.00027363999834051356,5.0874752832974137e-05,0.0027363999834051356,10
system_aware.fedcs,40,4,10,0.00027926999755436557,7.748393630483075e-05,0.0027926999755436555,10
system_aware.oort,40,4,10,0.0003055499997572042,8.784506939487674e-05,0.003055499997572042,10
system_aware.tifl,40,4,10,0.00030864000000292436,7.479698512458222e-05,0.0030864000000292435,10
ml.fedcor,40,4,10,0.009394199997768738,0.0010679213535887192,0.09394199997768737,10
research.criticalfl,40,4,10,0.00031833999964874237,7.712923215952072e-05,0.0031833999964874238,10
research.fedgcs,40,4,10,0.03476222999743186,0.009137829377906527,0.3476222999743186,10
research.maml_select,40,4,10,0.02188598000066122,0.004275404714504411,0.2188598000066122,10
baseline.fedavg,80,8,10,0.0003052100000786595,5.727744211315688e-05,0.003052100000786595,10
system_aware.fedcs,80,8,10,0.00038560000102734194,7.134440247653571e-05,0.0038560000102734193,10
system_aware.oort,80,8,10,0.0004340100000263192,9.88344724011349e-05,0.004340100000263192,10
system_aware.tifl,80,8,10,0.00031890999962342904,8.255554839211099e-05,0.0031890999962342903,10
ml.fedcor,80,8,10,0.07956607000087387,0.00474089878590284,0.7956607000087388,10
research.criticalfl,80,8,10,0.0003153200013912283,3.812145927951354e-05,0.003153200013912283,10
research.fedgcs,80,8,10,0.030950279999524356,0.0067552447829658194,0.30950279999524355,10
research.maml_select,80,8,10,0.01956666000187397,0.0042550571193952745,0.1956666000187397,10
baseline.fedavg,100,10,10,0.00030849000322632494,6.178069986310461e-05,0.003084900032263249,10
system_aware.fedcs,100,10,10,0.00045005000283708795,8.105610117904674e-05,0.00450050002837088,10
system_aware.oort,100,10,10,0.00042685999942477794,5.811910732835299e-05,0.004268599994247779,10
system_aware.tifl,100,10,10,0.000353059999179095,6.237505812859554e-05,0.0035305999917909503,10
ml.fedcor,100,10,10,0.1551473999992595,0.01088988919169022,1.551473999992595,10
research.criticalfl,100,10,10,0.0004318499981309287,0.0001950470075607757,0.004318499981309287,10
research.fedgcs,100,10,10,0.0328000500012422,0.008944626543321734,0.328000500012422,10
research.maml_select,100,10,10,0.01968866999959573,0.0035827912644283573,0.19688669999595731,10
baseline.fedavg,200,20,10,0.00047866000095382334,0.0001436468002518291,0.004786600009538233,10
system_aware.fedcs,200,20,10,0.0005268000022624619,0.00011325309525076769,0.005268000022624619,10
system_aware.oort,200,20,10,0.0006251300044823437,0.00020376215346072288,0.006251300044823438,10
system_aware.tifl,200,20,10,0.00036211000115145,7.540552119119128e-05,0.0036211000115145,10
ml.fedcor,200,20,10,1.2699316499987616,0.04473979099687349,12.699316499987617,10
research.criticalfl,200,20,10,0.0004529699988779612,0.00011091727327668116,0.004529699988779612,10
research.fedgcs,200,20,10,0.03309817999979714,0.005980329218017957,0.3309817999979714,10
research.maml_select,200,20,10,0.024932829997851513,0.005366641798625089,0.24932829997851513,10
baseline.fedavg,500,50,10,0.0007748700008960441,0.0001716922427382442,0.007748700008960441,10
system_aware.fedcs,500,50,10,0.0012805199992726557,0.00019356385438821095,0.012805199992726557,10
system_aware.oort,500,50,10,0.0010489000007510186,0.0003313513747268972,0.010489000007510185,10
system_aware.tifl,500,50,10,0.0006644399996730499,9.547085598798868e-05,0.006644399996730499,10
ml.fedcor,500,50,10,19.02709323000163,0.41677938227511574,190.27093230001628,10
research.criticalfl,500,50,10,0.0007164300011936575,4.506968431473826e-05,0.007164300011936575,10
research.fedgcs,500,50,10,0.03269419999851379,0.0061890735815737135,0.32694199998513795,10
research.maml_select,500,50,10,0.02226560000126483,0.004278738110248937,0.2226560000126483,10
baseline.fedavg,1000,100,10,0.0012967800008482299,0.00013666624210428377,0.0129678000084823,10
system_aware.fedcs,1000,100,10,0.0019296099984785543,0.00046066138475595335,0.019296099984785542,10
system_aware.oort,1000,100,10,0.001879430003464222,0.0003516838329997862,0.01879430003464222,10
system_aware.tifl,1000,100,10,0.000986170000396669,0.00019758282028423975,0.009861700003966689,10
ml.fedcor,1000,100,10,159.95876579999896,1.3627664372291641,1599.5876579999895,10
research.criticalfl,1000,100,10,0.001278049999382347,0.00013724863551875342,0.012780499993823469,10
research.fedgcs,1000,100,10,0.03161227999808034,0.006697305653365205,0.3161227999808034,10
research.maml_select,1000,100,10,0.025795939998351967,0.003583209755723358,0.2579593999835197,10
